slurm_job_id,test_case,start_time,end_time,daos_commit,oclass,num_servers,num_clients,ppc,fpp,segments,chunk_size,xfer_size,block_size,cont_rf,ec_cell_size,iterations,notes,status,sw_time,write_gib,read_gib
3237120,ior_easy,2021-07-06 15:12:09,2021-07-06 15:19:12,5628567,SX,8,16,32,,1,1048576,1M,150G,0,1048576,1,,Pass,60,75.17,81.88
3237172,ior_easy,2021-07-06 15:12:09,2021-07-06 15:19:55,5628567,EC_2P1GX,8,16,32,,1,1048576,1M,150G,1,1048576,1,,Pass,60,33.23,57.38
3237173,ior_easy,2021-07-06 15:14:09,2021-07-06 15:21:29,5628567,EC_4P1GX,8,16,32,,1,1048576,1M,150G,1,1048576,1,,Pass,60,28.63,52.98
3245279,ior_easy,2021-07-07 14:31:16,2021-07-07 14:38:19,5628567,SX,12,16,32,,1,1048576,1M,150G,0,1048576,1,,Pass,60,105.70,114.86
3245283,ior_easy,2021-07-07 14:31:16,2021-07-07 14:37:43,5628567,RP_2GX,12,16,32,,1,1048576,1M,150G,1,1048576,1,,Pass,60,54.70,122.17
3245284,ior_easy,2021-07-07 14:39:42,2021-07-07 14:46:59,5628567,EC_2P1GX,12,16,32,,1,1048576,1M,150G,1,1048576,1,,Pass,60,47.27,85.05
3245286,ior_easy,2021-07-07 14:39:42,2021-07-07 14:45:36,5628567,RP_3GX,12,16,32,,1,1048576,1M,150G,2,1048576,1,,Pass,60,35.98,121.87
3245287,ior_easy,2021-07-07 14:41:30,2021-07-07 14:48:37,5628567,EC_4P2GX,12,16,32,,1,1048576,1M,150G,2,1048576,1,,Pass,60,26.56,65.25
3250894,ior_easy,2021-07-08 13:59:13,2021-07-08 14:05:49,5628567,EC_2P1GX,12,16,32,,1,2M,1M,150G,1,1048576,1,,Pass,60,54.22,107.82
3250914,ior_easy,2021-07-08 13:59:13,2021-07-08 14:06:10,5628567,SX,12,16,32,,1,2M,1M,150G,0,1048576,1,,Pass,60,106.14,117.31
3250915,ior_easy,2021-07-08 14:02:32,2021-07-08 14:09:37,5628567,SX,12,16,32,,1,4M,1M,150G,0,1048576,1,,Pass,60,99.04,121.87
3250916,ior_easy,2021-07-08 14:12:59,2021-07-08 14:19:23,5628567,EC_4P2GX,12,16,32,,1,4M,1M,150G,2,1048576,1,,Pass,60,30.54,92.84
3251117,ior_easy,2021-07-08 14:12:59,2021-07-08 14:20:09,5628567,EC_4P2GX,12,16,32,,1,4M,4M,150G,2,1048576,1,,Pass,60,65.41,92.61
3251118,ior_easy,2021-07-08 14:24:00,2021-07-08 14:30:56,5628567,SX,12,16,32,,1,4M,4M,150G,0,1048576,1,,Pass,60,100.62,120.58
3251119,ior_easy,2021-07-08 14:24:00,2021-07-08 14:30:52,5628567,SX,12,16,32,,1,2M,2M,150G,0,1048576,1,,Pass,60,102.18,110.00
3251120,ior_easy,2021-07-08 14:27:19,2021-07-08 14:34:15,5628567,EC_2P1GX,12,16,32,,1,2M,2M,150G,1,1048576,1,,Pass,60,77.80,103.41
3251815,ior_easy,2021-07-08 20:12:16,2021-07-08 20:19:12,5628567,S128,12,16,32,,1,1M,1M,150G,0,1048576,1,,Pass,60,96.95,116.70
3251817,ior_easy,2021-07-08 21:32:51,2021-07-08 21:39:56,5628567,S128,12,16,32,,1,2M,2M,150G,0,1048576,1,,Pass,60,95.30,121.07
3251819,ior_easy,2021-07-08 21:32:51,2021-07-08 21:40:11,5628567,S128,12,16,32,,1,4M,4M,150G,0,1048576,1,,Pass,60,94.59,109.97
3255846,ior_easy,2021-07-09 18:15:25,2021-07-09 18:21:18,5628567,S128,12,16,32,,1,1M,2M,150G,0,1048576,1,,Pass,60,106.57,112.04
3255853,ior_easy,2021-07-09 18:15:25,2021-07-09 18:21:09,5628567,S128,12,16,32,,1,1M,4M,150G,0,1048576,1,,Pass,60,108.56,116.96
3255865,ior_easy,2021-07-09 18:15:25,2021-07-09 18:21:13,5628567,EC_2P1GX,12,16,32,,1,2M,2M,150G,1,1048576,1,,Pass,60,72.47,95.13
3255869,ior_easy,2021-07-09 18:15:25,2021-07-09 18:21:36,5628567,EC_4P2GX,12,16,32,,1,4M,4M,150G,2,1048576,1,,Pass,60,69.51,81.64
3237474,ior_easy,2021-07-06 15:39:21,2021-07-06 15:46:24,5628567,EC_2P1GX,16,16,32,,1,1048576,1M,150G,1,1048576,1,,Pass,60,55.50,86.91
3237475,ior_easy,2021-07-06 15:41:30,2021-07-06 15:49:01,5628567,EC_4P1GX,16,16,32,,1,1048576,1M,150G,1,1048576,1,,Pass,60,44.45,76.99
3237476,ior_easy,2021-07-06 15:39:21,2021-07-06 15:46:22,5628567,SX,16,16,32,,1,1048576,1M,150G,0,1048576,1,,Pass,60,122.92,152.31
3193135,ior_easy_EC_2P1GX,2021-06-29 15:31:34,2021-06-29 15:36:28,b25b0b1,EC_2P1GX,4,16,32,,1,1048576,1M,150G,1,1048576,1,,Pass,60,5.32,34.31
3193548,ior_easy_EC_2P1GX,2021-06-29 21:24:22,2021-06-29 21:29:32,b25b0b1,EC_2P1GX,8,16,32,,1,1048576,1M,150G,1,1048576,1,,Pass,60,9.66,50.43
3193551,ior_easy_EC_2P1GX,2021-06-29 21:43:19,2021-06-29 21:48:21,b25b0b1,EC_2P1GX,8,32,32,,1,1048576,1M,150G,1,1048576,1,,Pass,60,10.65,65.64
3193136,ior_easy_EC_4P1GX,2021-06-29 15:31:34,2021-06-29 15:36:23,b25b0b1,EC_4P1GX,8,16,32,,1,1048576,1M,150G,1,1048576,1,,Pass,60,8.37,62.38
3193546,ior_easy_EC_4P1GX,2021-06-29 21:10:28,2021-06-29 21:15:36,b25b0b1,EC_4P1GX,8,32,32,,1,1048576,1M,150G,1,1048576,1,,Pass,60,7.99,57.46
3193547,ior_hard_EC_2P1GX,2021-06-29 21:10:28,2021-06-29 21:15:42,b25b0b1,EC_2P1GX,4,16,32,,2000000,1048576,47008,47008,1,1048576,1,,Pass,60,5.99,16.85
3193549,ior_hard_EC_2P1GX,2021-06-29 21:34:00,2021-06-29 21:39:20,b25b0b1,EC_2P1GX,8,32,32,,2000000,1048576,47008,47008,1,1048576,1,,Pass,60,10.49,30.79
3193544,ior_hard_EC_4P1GX,2021-06-29 21:02:20,2021-06-29 21:07:39,b25b0b1,EC_4P1GX,8,32,32,,2000000,1048576,47008,47008,1,1048576,1,,Pass,60,8.81,23.57
3193550,ior_hard_EC_4P1GX,2021-06-29 21:24:22,2021-06-29 21:29:27,b25b0b1,EC_4P1GX,8,16,32,,2000000,1048576,47008,47008,1,1048576,1,,Pass,60,8.48,26.42
